,,,
,,,
,HD-OKÊ!!,
,,,
CANTOR,NÚMERO,MÚSICA
A Turma do Balão Mágico,02928,SE ENAMORA
"Ananda, Joker Beats",30663,QUERO QUE TU VÁ
Anitta,30626,GOALS
Anitta,30634,MEDICINA
Anitta,30643,NÃO PERCO MEU TEMPO
Anitta,30682,VENENO
Ara Ketu,30658,PRA LEVANTAR POEIRA
Bruno e Barretto,30602,BÊBADO NO MÁXIMO
Bruno e Marrone,30605,BEIJO DE VARANDA
Carinha de Anjo,30631,LINDO BALÃO AZUL
Cavaleiros do Zodíaco,30655,PEGASUS FANTASY
Chiclete Com Banana,30610,CARA CARAMBA SOU CAMALEÃO
Chitãozinho e Xororó,03678,PODE SER PRA VALER
Cleber e Cauan,30676,TBT (TÔ BEBENDO TODAS)
Dennis DJ e MC G15,30671,SÓ VOCÊ (SÓ PRECISO DE VOCÊ)
"Dennis DJ, Bruno Martini ft. Vitin",30675,SOU TEU FÃ
Diego e Arnaldo,30677,TE ASSUMO
Dilsinho ft. Ivete Sangalo,30628,IOIÔ
Dom e Ravel,30669,SÓ O AMOR CONSTRÓI
Edson e Hudson,30640,"MULHER, CERVEJA E VIOLA"
Edson Gomes,30632,MALANDRINHA
Eduardo Costa,30649,OLHA ELA AÍ
Enzo Rabelo,30635,MEIO CAMINHO ANDADO
Enzo Rabelo part. Zé Felipe,30679,TIJOLINHO POR TIJOLINHO
Felipe Araújo,30598,AINDA SOU TÃO SEU
Felipe Araújo part. Ferrugem,30601,ATRASADINHA
Fernando e Sorocaba part. Luan Santana,02833,EVEREST
Furacão Love,30641,MY BABY
Gabriel Diniz,30653,PARQUEDAS
George Henrique e Rodrigo,30615,CLIENTE PREFERENCIAL (MODÃO ATRÁS DO OUTRO)
Glória e Lucas Silveira,30627,HORIZONTES
Gusttavo Lima,30684,ZÉ DA RECAÍDA
Harmonia do Samba,30646,NOVA PARADINHA
Harmonia do Samba part. Luan Santana,30638,MOÇA DO ESPELHO
Henrique e Diego ft. Simone e Simaria,30665,RASPÃO
Henrique e Juliano,30662,"QUEM PEGOU, PEGOU"
Humberto e Ronaldo ft. Jerry Smith,30642,NÃO FALA NÃO PRA MIM
Hungria Hip Hop,30604,BEIJO COM TRAP
Irmãs Galvão,30644,NO CALOR DOS TEUS ABRAÇOS
Israel e Rodolffo,30618,CORAÇÃO DE QUATRO
Israel Novaes part. Márcio Victor e Jerry Smith,30613,CHIP
Iza,30678,TE PEGAR
João Gilberto,07418,PRA MACHUCAR MEU CORAÇÃO
João Neto e Frederico ft. Jads e Jadson,30683,VÍCIO
João Neto e Frederico part. Simone e Simaria,30664,RAPARIGA NÃO
Jorge e Mateus,30680,TRINCADINHO
Léo Magalhães,30611,"CHAMOU, CHAMOU"
Léo Santana,30594,10 BEIJOS DE RUA
Lourenço e Lourival,15798,VELHA PORTEIRA
Luan Santana,30633,MC LENÇOL E DJ TRAVESSEIRO
Luan Santana ft. Jorge e Mateus,30672,SOFAZINHO
Luan Santana ft. Sandy,30636,MESMO SEM ESTAR
"Ludmilla, MC Doguinha, Mc Pupio",30621,DIN DIN DIN
Luiz Gonzaga,07302,ASSUM PRETO
Luiz Gonzaga,30625,FORRÓ NO ESCURO
Luiz Gonzaga,30660,PROCURANDO TU
Luiz Gonzaga,03860,XOTE DAS MENINAS
Luiz Melodia,04084,JUVENTUDE TRANSVIADA
Maiara e Maraisa,30619,CORAÇÃO INFECTADO
Maneva,30667,SAUDADES DO TEMPO
Mano Walter,30629,JURAMENTO DO DEDINHO
Márcia Fellipe & Jerry Smith,30661,QUEM ME DERA
Marcos e Belutti part. Marília Mendonça,30608,CANCELA O SENTIMENTO
,,,
,Página 1 de 2,
,,,
,HD-OKÊ!!,
,,,
CANTOR,NÚMERO,MÚSICA
Marília Mendonça,30607,BYE BYE
Marília Mendonça,30614,CIUMEIRA
Marília Mendonça,30623,ESTRANHO
Marina Lima,07000,VIRGEM
Melim,30637,MEU ABRIGO
Melim,30651,OUVI DIZER
Micael,30597,A NOITE TODA
Michel Teló part. Marília Mendonça,30657,POR TRÁS DA MAQUIAGEM
Naiara Azevedo,30606,BUÁ BUÁ
Naiara Azevedo,30630,LADRÃO
Nego do Borel ft. Luan Santana,30617,CONTATINHO
Netinho,03577,MENINA LINDA
Pabllo Vittar,30622,DISK ME
Pabllo Vittar,30659,PROBLEMA SEU
Pabllo Vittar,30668,SEU CRIME
Renato Teixeira,30599,AMANHECEU PEGUEI A VIOLA
Roberto Carlos,30654,PASSATEMPO
Silva e Anitta,30624,FICA TUDO BEM
Simone e Simaria,30681,UM EM UM MILHÃO
Simone e Simaria part. Alok,30652,PAGA DE SOLTEIRO FELIZ
Thaeme e Thiago,30616,"COM VOCÊS, EU"
Thaeme e Thiago,30650,ONDE JÁ SE VIU
Tiê,30656,PISCAR O OLHO
Titãs,03679,POLÍCIA
Tom Jobim e Vinícius de Moraes,30648,O MORRO NÃO TEM VEZ
Trem da Alegria,07526,DONA FELICIDADE
Wanderley Andrade,30595,CONQUISTA
Wesley Safadão,30670,SÓ PRA CASTIGAR
Wesley Safadão,30673,SONHEI QUE TAVA ME CASANDO
Wesley Safadão,30674,SOU EU
Yasmin Santos,30666,SAUDADE NÍVEL HARD
Zé Neto e Cristiano,30600,AMOR DESCARTÁVEL
Zé Neto e Cristiano,30603,BEBIDA NA FERIDA
Zé Neto e Cristiano,30620,DERRETER A ALIANÇA
Zé Neto e Cristiano,30639,MULHER MARAVILHA
Zé Neto e Cristiano,30645,NOTIFICAÇÃO PREFERIDA
Zé Neto e Cristiano,30647,NOVELA DAS NOVE
,,,
,Página 2 de 2,
